id,workload,iteration,metric,core,freq,value,units
a7_5_1,dhrystone,1,A15b_power,A7,500000,0.005,Watts
a7_5_1,dhrystone,1,A15b_voltage,A7,500000,1.057,Volts
a7_5_1,dhrystone,1,A15b_energy,A7,500000,25.769,Joules
a7_5_1,dhrystone,1,A15a_power,A7,500000,0.005,Watts
a7_5_1,dhrystone,1,A15a_voltage,A7,500000,1.057,Volts
a7_5_1,dhrystone,1,A15a_energy,A7,500000,24.571,Joules
a7_6_1,dhrystone,1,thread 0 score,A7,600000,677507,
a7_6_1,dhrystone,1,thread 0 DMIPS,A7,600000,386,
a7_6_1,dhrystone,1,time,A7,600000,22.295247,seconds
a7_6_1,dhrystone,1,total DMIPS,A7,600000,386,
a7_6_1,dhrystone,1,total score,A7,600000,677507,
a7_6_1,dhrystone,1,execution_time,A7,600000,22.3619890213,seconds
a7_6_1,dhrystone,1,A7_power,A7,600000,0.04,Watts
a7_6_1,dhrystone,1,A7_voltage,A7,600000,0.692,Volts
a7_6_1,dhrystone,1,A7_energy,A7,600000,95.082,Joules
a7_6_1,dhrystone,1,A15c_power,A7,600000,0.005,Watts
a7_6_1,dhrystone,1,A15c_voltage,A7,600000,1.057,Volts
a7_6_1,dhrystone,1,A15c_energy,A7,600000,12.298,Joules
a7_6_1,dhrystone,1,A15b_power,A7,600000,0.004,Watts
a7_6_1,dhrystone,1,A15b_voltage,A7,600000,1.057,Volts
a7_6_1,dhrystone,1,A15b_energy,A7,600000,10.424,Joules
a7_6_1,dhrystone,1,A15a_power,A7,600000,0.005,Watts
a7_6_1,dhrystone,1,A15a_voltage,A7,600000,1.057,Volts
a7_6_1,dhrystone,1,A15a_energy,A7,600000,10.886,Joules
a7_7_1,dhrystone,1,thread 0 score,A7,700000,784929,
a7_7_1,dhrystone,1,thread 0 DMIPS,A7,700000,447,
a7_7_1,dhrystone,1,time,A7,700000,19.255754,seconds
a7_7_1,dhrystone,1,total DMIPS,A7,700000,447,
a7_7_1,dhrystone,1,total score,A7,700000,784929,
a7_7_1,dhrystone,1,execution_time,A7,700000,40.6774029732,seconds
a7_7_1,dhrystone,1,A7_power,A7,700000,0.044,Watts
